match_frac,trial,latency_ms
0.75,51,230.19849811680615
0.75,52,224.87782198004425
0.75,53,232.1076630614698
0.75,54,223.85755903087556
0.75,55,227.93979500420392
0.75,56,234.69699290581048
0.75,57,224.2157848086208
0.75,58,231.57558008097112
0.75,59,228.6568870767951
0.75,60,222.00044197961688
0.75,61,229.3451800942421
0.75,62,228.27686904929578
0.75,63,229.87751895561814
0.75,64,231.26738495193422
0.75,65,225.61669093556702
0.75,66,233.46372111700475
0.75,67,231.70892405323684
0.75,68,227.90107387118042
0.75,69,229.38294103369117
0.75,70,226.68189788237214
0.75,71,225.080078933388
0.75,72,226.04834102094173
0.75,73,226.0249969549477
0.75,74,228.17173204384744
0.75,75,243.35125996731222
0.75,76,228.38002210482955
0.75,77,223.8283429760486
0.75,78,222.8714080993086
0.75,79,227.62403287924826
0.75,80,229.54010986723006
0.75,81,223.06006611324847
0.75,82,234.23446202650666
0.75,83,226.72132216393948
0.75,84,236.68137402273715
0.75,85,225.8285009302199
0.75,86,224.45879504084587
0.75,87,223.41181198135018
0.75,88,230.6835420895368
0.75,89,223.12254598364234
0.75,90,233.59122592955828
0.75,91,230.96029600128531
0.75,92,224.6507320087403
0.75,93,236.35786888189614
0.75,94,224.15298502892256
0.75,95,231.26218584366143
0.75,96,231.58853990025818
0.75,97,228.764713043347
0.75,98,229.6499831136316
0.75,99,225.3593928180635
1.0,0,110.34729704260826
1.0,1,77.99158804118633
1.0,2,78.83520890027285
1.0,3,78.00320396199822
1.0,4,76.92396501079202
1.0,5,78.82229704409838
1.0,6,77.80753797851503
1.0,7,80.34701202996075
1.0,8,78.40771903283894
1.0,9,77.270383015275
1.0,10,76.95618900470436
1.0,11,76.75869995728135
1.0,12,75.96920593641698
1.0,13,79.62049497291446
1.0,14,78.44184804707766
1.0,15,77.39468780346215
1.0,16,77.26307096891105
1.0,17,78.06194084696472
1.0,18,78.85807403363287
1.0,19,76.64162595756352
1.0,20,76.97897288016975
1.0,21,78.26901413500309
1.0,22,78.04149203002453
1.0,23,77.86040287464857
1.0,24,77.4798730853945
1.0,25,79.18780483305454
1.0,26,78.6806009709835
1.0,27,77.048429986462
1.0,28,77.10300595499575
1.0,29,78.56829604133964
1.0,30,78.41927092522383
1.0,31,76.73937105573714
1.0,32,76.7756118439138
1.0,33,78.43467895872891
1.0,34,80.87615203112364
1.0,35,83.71572406031191
1.0,36,77.6971539016813
1.0,37,76.97895704768598
1.0,38,76.46933803334832
1.0,39,78.15125305205584
1.0,40,76.9493889529258
1.0,41,77.28644786402583
1.0,42,78.647097107023
1.0,43,78.87079380452633
1.0,44,76.85713190585375
1.0,45,77.47793616726995
1.0,46,79.16271616704762
1.0,47,78.75976897776127
1.0,48,81.21439418755472
1.0,49,82.20625598914921
1.0,50,76.57397794537246
