candidate,trial_batch,ttft_mean_ms,ttft_stdev_ms,predicted,confidence,ground_truth_match,tenant,timestamp,secret_category
d94394c12b7443b5ae91331a031dbdd0,5,74.01894298382103,1.972005444081587,miss,0.0,N/A_before,attacker_before,1786410547.3758335,high_entropy
d94394c12b7443b5ae91331a031dbdd0,10,72.23206085618585,0.919532739026427,miss,0.0,N/A_before,attacker_before,1786410548.098933,high_entropy
d94394c12b7443b5ae91331a031dbdd0,1,71.2859129998833,0.0,miss,0.0,False,attacker_after,1786410548.2421122,high_entropy
d94394c12b7443b5ae91331a031dbdd0,3,74.26998135633767,0.6457545255813139,miss,0.0,False,attacker_after,1786410548.4653392,high_entropy
d94394c12b7443b5ae91331a031dbdd0,5,73.01002102904022,0.2554948404454411,miss,0.0,False,attacker_after,1786410548.8308785,high_entropy
d94394c12b7443b5ae91331a031dbdd0,10,72.91167976800352,1.7387576552584207,miss,0.0,False,attacker_after,1786410549.560764,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,1,80.78914508223534,0.0,miss,0.0,N/A_before,attacker_before,1786410550.3699145,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,3,73.21930800875028,0.4314498165874877,miss,0.0,N/A_before,attacker_before,1786410550.5898933,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,5,71.68615320697427,0.1005546451899351,miss,0.0,N/A_before,attacker_before,1786410550.9488082,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,10,73.69090400170535,2.379987056489555,miss,0.0,N/A_before,attacker_before,1786410551.6867769,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,1,72.1098710782826,0.0,miss,0.0,False,attacker_after,1786410551.831161,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,3,72.0556943366925,0.06217461235752247,miss,0.0,False,attacker_after,1786410552.0477715,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,5,72.79315576888621,0.9585485186138099,miss,0.0,False,attacker_after,1786410552.4121983,high_entropy
213ecf88247f4c8894f784ac0b5e9f8b,10,72.41011809092015,0.9330355101673625,miss,0.0,False,attacker_after,1786410553.1370447,high_entropy
1998295686c24241914d6cf45a4ed696,1,83.42559495940804,0.0,miss,0.0,N/A_before,attacker_before,1786410553.9618015,high_entropy
1998295686c24241914d6cf45a4ed696,3,74.01721738278866,1.1154055694221998,miss,0.0,N/A_before,attacker_before,1786410554.184194,high_entropy
1998295686c24241914d6cf45a4ed696,5,73.82930014282465,0.6733064960061834,miss,0.0,N/A_before,attacker_before,1786410554.5537739,high_entropy
